CODE,NAME,REGION,DISTRICT,WARD,OWNERSHIP,LONGITUDE,LATITUDE,PASS_RATE,AVG_MARK,CHANGE_PREVIOUS_YEAR,RANK,YEAR_OF_RESULT
PS0101-001,BANGATA PR. SCHOOL,ARUSHA,ARUSHA,BANGATA,GOVERNMENT,36.74399954,-3.338421019,51.52,99.29,13.05,9426,2014
PS0101-003,BWAWANI PR. SCHOOL,ARUSHA,ARUSHA,BWAWANI,GOVERNMENT,36.84478314,-3.607894651,26.83,85.78,8.42,13056,2014
PS0101-005,EKENYWA PR. SCHOOL,ARUSHA,ARUSHA,OLTURUMET,GOVERNMENT,36.62022865,-3.295716087,65.31,108.33,7.18,6842,2014
PS0101-006,EMAOI PR. SCHOOL,ARUSHA,ARUSHA,OLMOTONYI,GOVERNMENT,36.64896928,-3.308792324,100,135.09,25.83,2296,2014
PS0101-007,ENDONYOESOIYE PR. SCHOOL,ARUSHA,ARUSHA,,,36.65713014,-3.334140237,43.84,96.1,11.51,10363,2014
PS0101-008,ENGALAONI PR. SCHOOL,ARUSHA,ARUSHA,MWANDETI,GOVERNMENT,36.565748,-3.257083,88.1,120.17,30.46,4220,2014
PS0101-009,ENGORIKA PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.64342636,-3.240631356,42.86,100.1,5.98,9195,2014
PS0101-010,ENGUTUKOITI PR. SCHOOL,ARUSHA,ARUSHA,O/SAMBU,GOVERNMENT,36.68660817,-3.343437093,4.76,70.1,-25.99,15425,2014
PS0101-011,ENYUATA PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,GOVERNMENT,36.671719,-3.352888,86.55,131.43,11.22,2666,2014
PS0101-012,GREEN ACRES PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,NON GOVERNMENT,36.7082432,-3.362438003,100,200.03,8.15,84,2014
PS0101-013,ILBORU PR. SCHOOL,ARUSHA,ARUSHA,MOIVO,GOVERNMENT,36.68565607,-3.347568556,93.94,131.69,6.17,2641,2014
PS0101-014,ILKERINI PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,GOVERNMENT,36.52633707,-3.357002901,88.89,121.68,3.23,3986,2014
PS0101-015,ILKIDING'A PR. SCHOOL,ARUSHA,ARUSHA,ILKIDING'A,GOVERNMENT,36.68514885,-3.318278976,56.6,104.87,-6.81,7795,2014
PS0101-016,ILKISONGO PR. SCHOOL,ARUSHA,ARUSHA,ILKIDING'A,GOVERNMENT,36.729842,-3.267493,35.56,89.27,9.25,12183,2014
PS0101-017,ILKIUREI PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,GOVERNMENT,36.67412596,-3.354763761,66.24,110.07,6.27,6442,2014
PS0101-018,ILKUROTI PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.62665413,-3.213311536,68.42,107.6,17.87,7038,2014
PS0101-019,IMBIBIA PR. SCHOOL,ARUSHA,ARUSHA,MWANDETI,GOVERNMENT,36.5651309,-3.26723653,56.96,99.87,20.18,9260,2014
PS0101-020,JK NYERERE PR. SCHOOL,ARUSHA,ARUSHA,OLORIENI,GOVERNMENT,36.65149781,-3.34250629,79.1,118.61,14.36,4547,2014
PS0101-022,KAMBI YA MAZIWA PR. SCHOOL,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,86.67,122.29,-0.13,3875,2014
PS0101-023,KIGONGONI PR. SCHOOL,ARUSHA,ARUSHA,BWAWANI,GOVERNMENT,36.77969169,-3.536971065,100,140.12,52.26,1824,2014
PS0101-024,KILIMANJARO PR. SCHOOL,ARUSHA,ARUSHA,OLORIEN,NON GOVERNMENT,36.68660817,-3.343437093,100,194.59,21.03,120,2014
PS0101-025,KIMNYAKI PR. SCHOOL,ARUSHA,ARUSHA,KIMNYAK,GOVERNMENT,36.66012393,-3.311792792,53.17,100.89,15.46,8967,2014
PS0101-026,KIOGA PR. SCHOOL,ARUSHA,ARUSHA,ILKIDING'A,GOVERNMENT,36.69500039,-3.317135957,60.27,107.78,16.78,6988,2014
PS0101-027,KIRANYI PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,GOVERNMENT,36.671719,-3.352888,98.04,134.88,23.13,2316,2014
PS0101-028,KISERIAN PR. SCHOOL,ARUSHA,ARUSHA,MLANGARINI,GOVERNMENT,36.74017041,-3.449549452,47.54,100.3,-1.66,9128,2014
PS0101-029,KISONGO PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,GOVERNMENT,36.69511761,-3.317009675,89.86,123.93,23.65,3623,2014
PS0101-030,LAMOLOKI PR. SCHOOL,ARUSHA,ARUSHA,BWAWANI,GOVERNMENT,36.8328811,-3.58017525,40,94.42,17.04,10831,2014
PS0101-031,LAROI PR. SCHOOL,ARUSHA,ARUSHA,MATEVES,GOVERNMENT,36.62695406,-3.495517414,94.12,132.31,27.29,2580,2014
PS0101-032,LEMANYATA PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.61912574,-3.267709987,75,111.64,5.77,6033,2014
PS0101-033,LEMINYOR PR. SCHOOL,ARUSHA,ARUSHA,O/SAMBU,GOVERNMENT,36.68660817,-3.343437093,47.46,103.75,8.04,8127,2014
PS0101-034,LEMUGUR PR. SCHOOL,ARUSHA,ARUSHA,MATEVES,GOVERNMENT,36.56140491,-3.431959762,73.68,117.51,24.45,4781,2014
PS0101-035,LENGIJAVE PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.59862773,-5.030085894,37.21,92.09,-3.6,11459,2014
PS0101-036,LESIRAA PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,GOVERNMENT,36.50537781,-3.397378302,93.88,136.18,14.24,2174,2014
PS0101-037,LIKAMBA PR. SCHOOL,ARUSHA,ARUSHA,MUSA,GOVERNMENT,36.57237282,-3.314554656,50,102.69,26.29,8439,2014
PS0101-038,LOOVILUKUNY PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,GOVERNMENT,36.54446596,-3.411606322,64,107,12.13,7198,2014
PS0101-039,LORUVANI PR. SCHOOL,ARUSHA,ARUSHA,OLTUROTO,GOVERNMENT,36.68660817,-3.343437093,44.31,98.07,-5.28,9786,2014
PS0101-040,LOSIKITO PR. SCHOOL,ARUSHA,ARUSHA,MWANDETI,GOVERNMENT,36.5779942,-3.299581936,79.66,121.07,43.63,4071,2014
PS0101-041,LOSINONI PR. SCHOOL,ARUSHA,ARUSHA,O/SAMBU,GOVERNMENT,36.68660817,-3.343437093,24.29,90.79,5.73,11795,2014
PS0101-043,MAJIMOTO PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.8527009,-3.499154842,69.23,118.77,41.18,4515,2014
PS0101-044,MANYIRE PR. SCHOOL,ARUSHA,ARUSHA,MLANGARINI,GOVERNMENT,36.80627208,-3.454369582,64.71,106.47,14.8,7354,2014
PS0101-045,MARURANI PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.813139,-3.493588,47.17,98.77,-6.77,9565,2014
PS0101-047,MATIM PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.61891245,-3.266624775,84.21,126.6,21.99,3230,2014
PS0101-048,MBUYUNI PR. SCHOOL,ARUSHA,ARUSHA,OLJORO,GOVERNMENT,36.65584366,-3.565600437,68.57,109.26,17.48,6625,2014
PS0101-049,MIDAWE PR. SCHOOL,ARUSHA,ARUSHA,BANGATA,GOVERNMENT,36.74861731,-3.332989554,83.58,128.69,10.25,2961,2014
PS0101-050,MIRONGOINE PR. SCHOOL,ARUSHA,ARUSHA,OLJORO,GOVERNMENT,36.60603957,-3.405534203,96.77,128.39,3.47,2987,2014
PS0101-051,MLANGARINI PR. SCHOOL,ARUSHA,ARUSHA,MLANGARINI,GOVERNMENT,36.78700034,-3.447273332,27.08,83.42,-3.55,13583,2014
