CODE,NAME,REGION,DISTRICT,WARD,OWNERSHIP,LONGITUDE,LATITUDE,PASS_RATE,CHANGE_PREVIOUS_YEAR_PASS_RATE,AVG_GPA,CHANGE_PREVIOUS_YEAR_GPA,RANK,YEAR_OF_RESULT,MORE_THAN_40,NATIONAL_RANK_ALL,REGIONAL_RANK_ALL,DISTRICT_RANK_ALL,PUPIL_TEACHER_RATIO
S0106,DUNG'UNYI SEMINARY,SINGIDA,SINGIDA,,NON GOVERNMENT,34.98077066,-4.715752648,100,,3.6814,1.3375,22,2014,NO,,,,
S0113,MAFINGA SEMINARY,IRINGA,MUFINDI,SAO HILL,NON GOVERNMENT,35.27117606,-8.508382058,100,,4.0754,1.7727,4,2014,NO,,,,
S0117,KASITA SEMINARY,MOROGORO,ULANGA,,NON GOVERNMENT,36.6124973,-9.050462149,100,,3.8172,1.5221,18,2014,NO,,,,
S0118,KATOKE SEMINARY,KAGERA,BIHARAMULO,NYARUBUNGO,NON GOVERNMENT,31.442897,-2.517814,100,,4.1498,1.3033,3,2014,NO,,,,
S0124,LIKONDE SEMINARY,RUVUMA,MBINGA,,NON GOVERNMENT,34.9879625,-10.77202926,100,,3.2946,0.9431,39,2014,NO,,,,
S0130,MAUA SEMINARY,KILIMANJARO,MOSHI,KILEMA KASK.,NON GOVERNMENT,37.41952728,-3.366394703,100,,3.9476,1.768,10,2014,NO,,,,
S0141,NAMUPA SEMINARY,LINDI,LINDI RURAL,,NON GOVERNMENT,39.23245888,-10.27409125,100,,3.5324,1.0142,28,2014,NO,,,,
S0148,RUBYA SEMINARY,KAGERA,MULEBA,KASHASHA,NON GOVERNMENT,31.599888,-1.77941,100,,4.0676,1.8335,5,2014,NO,,,,
S0154,ST. PETER'S SEMINARY,MOROGORO,MOROGORO URBAN,,NON GOVERNMENT,37.66264787,-6.77664642,100,,3.3333,0.2037,37,2014,NO,,,,
S0169,BIHAWANA JUNIOR SEMINARY,DODOMA,DODOMA URBAN,MBABALA,NON GOVERNMENT,35.6302,-6.295982,100,,3.7407,1.151,21,2014,NO,,,,
S0171,ARUSHA CATHOLIC SEMINARY,ARUSHA,ARUSHA,O'SAMBU,NON GOVERNMENT,36.68660817,-3.343437093,100,,3.625,1.2935,24,2014,NO,,,,
S0176,LUSANGI MORAVIAN JUNIOR SEMINARY,TABORA,SIKONGE,,,33.09498291,-6.037176351,83.33,,1.6185,-3.1862,387,2014,NO,,,,
S0177,ST. MARY'S JUNIOR SEMINARY,PWANI,KIBAHA,,NON GOVERNMENT,38.55091591,-6.817426621,100,,3.8426,1.7384,17,2014,NO,,,,
S0179,ST. MARY'S SEMINARY MBALIZI,MBEYA,MBEYA RURAL,,NON GOVERNMENT,33.40427593,-8.92847122,100,,3.3993,0.711,34,2014,NO,,,,
S0180,ST. FRANCIS DE SALES SEMINARY,MOROGORO,MOROGORO URBAN,,NON GOVERNMENT,37.66264787,-6.77664642,100,,3.5222,0.9008,30,2014,NO,,,,
S0182,AL-FAROUQ SEMINARY,DAR ES SALAAM,ILALA,TABATA,NON GOVERNMENT,39.22394666,-6.832261744,76.92,,1.3996,-3.3035,734,2014,NO,,,,
S0183,STELLA MATUTINA LIGHANO SEMINARY,RUVUMA,NAMTUMBO,,NON GOVERNMENT,36.31666162,-10.63520727,100,,3.528,0.3491,29,2014,NO,,,,
S0186,RONDO JUNIOR SEMINARY,LINDI,LINDI RURAL,,NON GOVERNMENT,39.46591242,-10.03079884,100,,2.4563,-0.6074,88,2014,NO,,,,
S0187,AN-NOOR ISLAMIC BOYS SEMINARY,TANGA,TANGA,,NON GOVERNMENT,39.0154151,-5.11176189,91.67,,2.0056,-2.1822,152,2014,NO,,,,
S0190,ST. JOSEPH-KILOCHA SEMINARY,NJOMBE,NJOMBE,,NON GOVERNMENT,35.18909019,-9.223319014,100,,3.8008,1.7452,19,2014,NO,,,,
S0196,ST. THOMAS MORE KIBOGORA SECONDARY SCHOOL,KIGOMA,KIBONDO,KASANDA,NON GOVERNMENT,30.97862691,-4.15224213,100,,3.4472,0.3822,33,2014,NO,,,,
S0199,MSAMALA MUSLIM SEMINARY,RUVUMA,SONGEA URBAN,,NON GOVERNMENT,35.62258605,-10.65052101,100,,2.9283,-1.5995,54,2014,NO,,,,
S0236,KILIMANJARO ACADEMY SECONDARY SCHOOL,KILIMANJARO,MOSHI MUNICIPAL,SOWETO,NON GOVERNMENT,37.321893,-3.358085,84.62,,1.638,-2.2713,361,2014,NO,,,,
